id;known;name;products;url;sameAs
en:beef-dishes;1;Plats au bœuf;1361;https://fr.openfoodfacts.org/categorie/plats-au-boeuf;
en:smoked-salmons;1;Saumons fumés;1329;https://fr.openfoodfacts.org/categorie/saumons-fumes;
en:milkfat;1;Milkfat;1326;https://fr.openfoodfacts.org/categorie/milkfat;https://www.wikidata.org/wiki/Q909729
en:dairy-spread;1;Produits laitiers à tartiner;1318;https://fr.openfoodfacts.org/categorie/produits-laitiers-a-tartiner;
en:butters;1;Beurres;1316;https://fr.openfoodfacts.org/categorie/beurres;https://www.wikidata.org/wiki/Q34172
en:mueslis;1;Mueslis;1310;https://fr.openfoodfacts.org/categorie/mueslis;https://www.wikidata.org/wiki/Q52406
en:flours;1;Farines;1309;https://fr.openfoodfacts.org/categorie/farines;
en:stuffed-pastas;1;Pâtes farcies;1308;https://fr.openfoodfacts.org/categorie/pates-farcies;
fr:saucissons-secs;1;Saucissons secs;1297;https://fr.openfoodfacts.org/categorie/saucissons-secs;
en:sardines;1;Sardines;1274;https://fr.openfoodfacts.org/categorie/sardines;https://www.wikidata.org/wiki/Q208600
en:eggs;1;Œufs;1263;https://fr.openfoodfacts.org/categorie/oeufs;https://www.wikidata.org/wiki/Q659503
en:vinegars;1;Vinaigres;1256;https://fr.openfoodfacts.org/categorie/vinaigres;https://www.wikidata.org/wiki/Q41354
en:frozen-plant-based-foods;1;Aliments à base de plantes surgelés;1255;https://fr.openfoodfacts.org/categorie/aliments-a-base-de-plantes-surgeles;
fr:jambons-crus;1;jambons-crus;1246;https://fr.openfoodfacts.org/categorie/jambons-crus;
en:breaded-products;1;Produits panés;1235;https://fr.openfoodfacts.org/categorie/produits-panes;
en:olives;1;Olives;1214;https://fr.openfoodfacts.org/categorie/olives;https://www.wikidata.org/wiki/Q1621080
en:refrigerated-meals;1;Plats préparés réfrigérés;1213;https://fr.openfoodfacts.org/categorie/plats-prepares-refrigeres;
en:apple-juices;1;Jus de pomme;1212;https://fr.openfoodfacts.org/categorie/jus-de-pomme;https://www.wikidata.org/wiki/Q618355
en:emmentaler;1;Emmentals;1204;https://fr.openfoodfacts.org/categorie/emmentals;https://www.wikidata.org/wiki/Q932214
en:instant-beverages;1;Boissons instantanées;1200;https://fr.openfoodfacts.org/categorie/boissons-instantanees;
en:canned-sardines;1;Sardines en conserve;1192;https://fr.openfoodfacts.org/categorie/sardines-en-conserve;
en:wheat-pasta;1;Pâtes de blé;1191;https://fr.openfoodfacts.org/categorie/pates-de-ble;
en:orange-juices;1;Jus d'orange;1186;https://fr.openfoodfacts.org/categorie/jus-d-orange;https://www.wikidata.org/wiki/Q1781317
en:tropical-fruits;1;Fruits tropicaux;1181;https://fr.openfoodfacts.org/categorie/fruits-tropicaux;
en:potted-meats;1;Rillettes de viande;1166;https://fr.openfoodfacts.org/categorie/rillettes-de-viande;
en:fresh-vegetables;1;Légumes frais;1166;https://fr.openfoodfacts.org/categorie/legumes-frais;
en:mayonnaises;1;Mayonnaises;1150;https://fr.openfoodfacts.org/categorie/mayonnaises;https://www.wikidata.org/wiki/Q167893
en:durum-wheat-pasta;1;Pâtes de blé dur;1115;https://fr.openfoodfacts.org/categorie/pates-de-ble-dur;
en:cooking-helpers;1;Aides culinaires;1110;https://fr.openfoodfacts.org/categorie/aides-culinaires;
fr:charcuteries-cuites;1;Charcuteries cuites;1085;https://fr.openfoodfacts.org/categorie/charcuteries-cuites;
en:dairy-drinks;1;Boissons lactées;1084;https://fr.openfoodfacts.org/categorie/boissons-lactees;
en:sheep-s-milk-cheeses;1;Fromages de brebis;1060;https://fr.openfoodfacts.org/categorie/fromages-de-brebis;https://www.wikidata.org/wiki/Q1411808
en:cookies;0;en:cookies;1045;https://fr.openfoodfacts.org/categorie/en:cookies;
en:dried-hams;1;Jambons secs;1039;https://fr.openfoodfacts.org/categorie/jambons-secs;
en:ice-cream-tubs;1;Crèmes glacées en pot;1035;https://fr.openfoodfacts.org/categorie/cremes-glacees-en-pot;
en:pork-meals;1;Plats au porc;1023;https://fr.openfoodfacts.org/categorie/plats-au-porc;
en:whole-foies-gras;1;Foies gras entiers;1022;https://fr.openfoodfacts.org/categorie/foies-gras-entiers;
en:crepes-and-galettes;1;Crêpes et galettes;1008;https://fr.openfoodfacts.org/categorie/crepes-et-galettes;
en:frozen-vegetables;1;Légumes surgelés;991;https://fr.openfoodfacts.org/categorie/legumes-surgeles;
en:red-wines;1;Vins rouges;987;https://fr.openfoodfacts.org/categorie/vins-rouges;https://www.wikidata.org/wiki/Q1827
en:goat-cheeses;1;Fromages de chèvre;985;https://fr.openfoodfacts.org/categorie/fromages-de-chevre;https://www.wikidata.org/wiki/Q198815
en:leaf-vegetables;1;Légumes-feuilles;979;https://fr.openfoodfacts.org/categorie/legumes-feuilles;
en:cream-cheeses;1;Cream cheeses;979;https://fr.openfoodfacts.org/categorie/cream-cheeses;https://www.wikidata.org/wiki/Q426337
en:turkey-cutlets;1;Escalopes de dinde;978;https://fr.openfoodfacts.org/categorie/escalopes-de-dinde;
en:fish-rillettes;1;Rillettes de poissons;970;https://fr.openfoodfacts.org/categorie/rillettes-de-poissons;
en:sardines-in-oil;1;Sardines à l'huile;967;https://fr.openfoodfacts.org/categorie/sardines-a-l-huile;https://www.wikidata.org/wiki/Q297296
en:mixed-cereal-flakes;1;Mélanges de flocons de céréales;964;https://fr.openfoodfacts.org/categorie/melanges-de-flocons-de-cereales;
en:rice-dishes;1;Plats à base de riz;961;https://fr.openfoodfacts.org/categorie/plats-a-base-de-riz;
en:creams;1;Crèmes;960;https://fr.openfoodfacts.org/categorie/cremes;https://www.wikidata.org/wiki/Q13228
en:chicken-thighs;1;Cuisses de poulet;945;https://fr.openfoodfacts.org/categorie/cuisses-de-poulet;
en:chocolate-desserts;1;Desserts au chocolat;944;https://fr.openfoodfacts.org/categorie/desserts-au-chocolat;
en:noodles;1;Nouilles;944;https://fr.openfoodfacts.org/categorie/nouilles;https://www.wikidata.org/wiki/Q192874
en:spring-waters;1;Eaux de sources;943;https://fr.openfoodfacts.org/categorie/eaux-de-sources;https://www.wikidata.org/wiki/Q3046697
en:artisan-products;1;Produits artisanaux;933;https://fr.openfoodfacts.org/categorie/produits-artisanaux;
en:flower-honeys;1;Miels de fleurs;920;https://fr.openfoodfacts.org/categorie/miels-de-fleurs;
en:unpasteurised-cheeses;1;Fromages au lait cru;909;https://fr.openfoodfacts.org/categorie/fromages-au-lait-cru;https://www.wikidata.org/wiki/Q3088297
en:strawberry-jams;1;Confitures de fraises;907;https://fr.openfoodfacts.org/categorie/confitures-de-fraises;
en:gingerbreads;1;Pains d'épices;904;https://fr.openfoodfacts.org/categorie/pains-d-epices;https://www.wikidata.org/wiki/Q178600
en:cereal-flours;1;Farines de céréales;895;https://fr.openfoodfacts.org/categorie/farines-de-cereales;
en:sliced-breads;1;Pains de mie;895;https://fr.openfoodfacts.org/categorie/pains-de-mie;https://www.wikidata.org/wiki/Q134152
en:meat-analogues;1;Substituts de viande;884;https://fr.openfoodfacts.org/categorie/substituts-de-viande;https://www.wikidata.org/wiki/Q1343997
en:dessert-creams;1;Crèmes dessert;879;https://fr.openfoodfacts.org/categorie/cremes-dessert;
en:sugars;1;Sucres;874;https://fr.openfoodfacts.org/categorie/sucres;https://www.wikidata.org/wiki/Q11002
en:homogenized-milks;1;Laits homogénéisés;873;https://fr.openfoodfacts.org/categorie/laits-homogeneises;
en:uht-milks;1;Laits UHT;865;https://fr.openfoodfacts.org/categorie/laits-uht;https://www.wikidata.org/wiki/Q13616188
fr:fromages-blancs;1;Fromages blancs;862;https://fr.openfoodfacts.org/categorie/fromages-blancs;https://www.wikidata.org/wiki/Q15080546
en:potato-crisps-in-sunflower-oil;1;Chips de pommes de terre à l'huile de tournesol;861;https://fr.openfoodfacts.org/categorie/chips-de-pommes-de-terre-a-l-huile-de-tournesol;
en:chocolate-spreads;1;Pâtes à tartiner au chocolat;858;https://fr.openfoodfacts.org/categorie/pates-a-tartiner-au-chocolat;https://www.wikidata.org/wiki/Q1754566
en:plant-based-pates;1;Pâtés végétaux;855;https://fr.openfoodfacts.org/categorie/pates-vegetaux;
en:semi-skimmed-milks;1;Laits demi-écrémés;849;https://fr.openfoodfacts.org/categorie/laits-demi-ecremes;https://www.wikidata.org/wiki/Q10581201
en:plain-yogurts;1;Yaourts natures;845;https://fr.openfoodfacts.org/categorie/yaourts-natures;
en:plant-based-meals;1;Plats préparés d'origine végétale;845;https://fr.openfoodfacts.org/categorie/plats-prepares-d-origine-vegetale;
en:christmas-sweets;1;Confiseries de Noël;845;https://fr.openfoodfacts.org/categorie/confiseries-de-noel;
en:chocolate-bars;1;Barres chocolatées;844;https://fr.openfoodfacts.org/categorie/barres-chocolatees;https://www.wikidata.org/wiki/Q1361086
en:meat-preparations;1;Préparations de viande;833;https://fr.openfoodfacts.org/categorie/preparations-de-viande;
en:filled-biscuits;1;Biscuits fourrés;828;https://fr.openfoodfacts.org/categorie/biscuits-fourres;
en:blue-veined-cheeses;1;Fromages à pâte persillée;817;https://fr.openfoodfacts.org/categorie/fromages-a-pate-persillee;https://www.wikidata.org/wiki/Q746471
en:gelified-candies;1;Bonbons gélifiés;814;https://fr.openfoodfacts.org/categorie/bonbons-gelifies;
en:bodybuilding-supplements;1;Compléments pour le Bodybuilding;811;https://fr.openfoodfacts.org/categorie/complements-pour-le-bodybuilding;https://www.wikidata.org/wiki/Q908809
en:multifruit-juices;1;Jus multifruits;808;https://fr.openfoodfacts.org/categorie/jus-multifruits;
en:coffee-capsules;1;Cafés en dosettes;804;https://fr.openfoodfacts.org/categorie/cafes-en-dosettes;
en:almonds;1;Amandes;799;https://fr.openfoodfacts.org/categorie/amandes;https://www.wikidata.org/wiki/Q39918
en:food-additives;1;Additifs alimentaires;795;https://fr.openfoodfacts.org/categorie/additifs-alimentaires;https://www.wikidata.org/wiki/Q189567
en:long-grain-rices;1;Riz long grain;794;https://fr.openfoodfacts.org/categorie/riz-long-grain;
en:duck-dishes;1;Plats au canard;785;https://fr.openfoodfacts.org/categorie/plats-au-canard;
en:mushrooms-and-their-products;1;Champignons et produits dérivés;784;https://fr.openfoodfacts.org/categorie/champignons-et-produits-derives;
en:cream-soups;1;Veloutés;782;https://fr.openfoodfacts.org/categorie/veloutes;
en:beef-steaks;1;Steaks de bœuf;781;https://fr.openfoodfacts.org/categorie/steaks-de-boeuf;
en:sweet-fritters;1;Beignets sucrés;780;https://fr.openfoodfacts.org/categorie/beignets-sucres;
en:steaks;1;Steaks;779;https://fr.openfoodfacts.org/categorie/steaks;
en:special-breads;1;Pains spéciaux;779;https://fr.openfoodfacts.org/categorie/pains-speciaux;
en:sorbets;1;Sorbets;771;https://fr.openfoodfacts.org/categorie/sorbets;https://www.wikidata.org/wiki/Q13302
en:sweet-pies;1;Tartes sucrées;769;https://fr.openfoodfacts.org/categorie/tartes-sucrees;
en:cooked-chicken;1;Poulets cuisinés;769;https://fr.openfoodfacts.org/categorie/poulets-cuisines;
en:hazelnut-spreads;1;Pâtes à tartiner aux noisettes;768;https://fr.openfoodfacts.org/categorie/pates-a-tartiner-aux-noisettes;
en:white-meat-rillettes;1;Rillettes de viande blanche;762;https://fr.openfoodfacts.org/categorie/rillettes-de-viande-blanche;
en:ground-steaks;1;Steaks hachés;762;https://fr.openfoodfacts.org/categorie/steaks-haches;
en:mineral-waters;1;Eaux minérales;759;https://fr.openfoodfacts.org/categorie/eaux-minerales;https://www.wikidata.org/wiki/Q178921
en:lagers;1;Bières blondes;758;https://fr.openfoodfacts.org/categorie/bieres-blondes;https://www.wikidata.org/wiki/Q2792509
en:broths;1;Bouillons;753;https://fr.openfoodfacts.org/categorie/bouillons;https://www.wikidata.org/wiki/https://en.wikipedia.org/wiki/Broth
en:cocoa-and-chocolate-powders;1;Cacaos et chocolats en poudre;747;https://fr.openfoodfacts.org/categorie/cacaos-et-chocolats-en-poudre;
en:ground-beef-steaks;1;Steaks de bœuf hachés;746;https://fr.openfoodfacts.org/categorie/steaks-de-boeuf-haches;
fr:rillettes-de-volaille;1;Rillettes de volaille;745;https://fr.openfoodfacts.org/categorie/rillettes-de-volaille;
en:ravioli;1;Ravioli;744;https://fr.openfoodfacts.org/categorie/ravioli;https://www.wikidata.org/wiki/Q20053
en:oilseed-purees;1;Purées d'oléagineux;736;https://fr.openfoodfacts.org/categorie/purees-d-oleagineux;
en:green-olives;1;Olives vertes;732;https://fr.openfoodfacts.org/categorie/olives-vertes;
en:puffed-cereal-cakes;1;Galettes de céréales soufflées;726;https://fr.openfoodfacts.org/categorie/galettes-de-cereales-soufflees;
fr:bloc-de-foie-gras;1;Bloc de foie gras;725;https://fr.openfoodfacts.org/categorie/bloc-de-foie-gras;
en:ketchup;1;Ketchup;724;https://fr.openfoodfacts.org/categorie/ketchup;https://www.wikidata.org/wiki/Q178143
en:salad-dressings;1;Sauces salades;723;https://fr.openfoodfacts.org/categorie/sauces-salades;
